,User_A,User_B,Interaction
385,charlesmire,CarymaRules,Retweet
386,LovelySocialist,davemacladd,Retweet
387,donnell_kp,davemacladd,Retweet
388,MaryCooper1,davemacladd,Retweet
389,sqirlgirly,CarymaRules,Retweet
390,GorillaWeather,CarymaRules,Retweet
391,Brown_Girl_Says,CarymaRules,Retweet
392,RGBAtlantica,CarymaRules,Retweet
393,TruePat2020,CarymaRules,Retweet
394,AFawn13,CarymaRules,Retweet
395,prezz888,CarymaRules,Retweet
396,SCforestbrook,CarymaRules,Retweet
397,AndyHammers,CarymaRules,Retweet
398,Pug_King4444,CarymaRules,Retweet
399,rubano19,CarymaRules,Retweet
400,stustin,stustin,Tweet
401,HopeAldridge,CarymaRules,Retweet
402,RaonaidGS,davemacladd,Retweet
403,ActionTime,CarymaRules,Retweet
404,shugaminyoongi,CarymaRules,Retweet
405,erik_latour,CarymaRules,Retweet
406,Annaliesewyld,CarymaRules,Retweet
407,UghitsAnjali,CarymaRules,Retweet
408,TheSAOman,CarymaRules,Retweet
409,kevinsinclairsk,CarymaRules,Retweet
410,tatme123,CarymaRules,Retweet
411,JBaratt,CarymaRules,Retweet
412,raptorgirlSK,raptorgirlSK,Tweet
413,SadTomato17,raptorgirlSK,Retweet
414,krismeloche,CarymaRules,Retweet
415,michaelcoren,michaelcoren,Tweet
416,IslandGirlPRV,WhereverIamtday,Retweet
417,Blair_Langmuir,CarymaRules,Retweet
418,CAGWSkeptic,CarymaRules,Retweet
419,raptorgirlSK,raptorgirlSK,Tweet
420,EricDanielski,CarymaRules,Retweet
421,drspayne_payne,raptorgirlSK,Retweet
422,PsycheDiver,CarymaRules,Retweet
423,Donadeedooda,CarymaRules,Retweet
424,raptorgirlSK,raptorgirlSK,Tweet
425,JohnAlcornMusic,JohnAlcornMusic,Tweet
426,JohnS15966744,CarymaRules,Retweet
427,raptorgirlSK,raptorgirlSK,Tweet
428,HalNorCounty,CarymaRules,Retweet
429,PlaysTrumpCard,CarymaRules,Retweet
430,ddd2505,CarymaRules,Retweet
431,digdeepfindsoul,CarymaRules,Retweet
432,Brennnty,CarymaRules,Retweet
433,Patriotsamo,CarymaRules,Retweet
434,PoultenDavid,davemacladd,Retweet
435,raptorgirlSK,raptorgirlSK,Tweet
